Successful function calls:
'332-UMAA-01-Main_English' set with key: 7 and mapping: c4e813e5-abb4-4c59-a745-0f2521f015b6
'332-UMAA-01-Main_English' set with key: 8 and mapping: 12097904-66e5-4de3-b201-0585eecb3eac
'332-UMAA-01-Main_English' set with key: 9 and mapping: 9ac68b09-f0d7-47a3-af21-99cfb5535b06
'332-UMAA-01-Main_English' transfer rule set
'332-UMAA-01-Main_English' after greeting action set
'332-UMAA-01-Main_English' greeting uploaded for Standard
332-UMAA-01-Main_English DTMFAccessId set with 803323000
'332-UMAA-01-Main_Spanish' set with key: 0 and mapping: 803326003
'332-UMAA-01-Main_Spanish' set with key: 2 and mapping: 803323020
'332-UMAA-01-Main_Spanish' set with key: 3 and mapping: 803323020
'332-UMAA-01-Main_Spanish' set with key: 4 and mapping: 803323050
'332-UMAA-01-Main_Spanish' set with key: 5 and mapping: 3da03b0f-bf44-40b3-b31e-d36820126196
'332-UMAA-01-Main_Spanish' set with key: 6 and mapping: 7839f1cb-1eee-4987-868c-c888f714ba71
'332-UMAA-01-Main_Spanish' set with key: 7 and mapping: 173ea3d9-4adb-45bb-92e8-aea7dd22431b
'332-UMAA-01-Main_Spanish' set with key: 8 and mapping: 6196f6fa-afb2-49fb-ba1a-ac81e611d6e1
'332-UMAA-01-Main_Spanish' set with key: 9 and mapping: 62d00763-4a2e-455c-9a27-135ef4109ece
'332-UMAA-01-Main_Spanish' transfer rule set
'332-UMAA-01-Main_Spanish' after greeting action set
'332-UMAA-01-Main_Spanish' greeting uploaded for Standard
'332-Counl_English' set with key: 0 and mapping: 803323020
'332-Counl_English' set with key: 1 and mapping: 803323056
'332-Counl_English' set with key: 2 and mapping: 803323055
'332-Counl_English' transfer rule set
'332-Counl_English' after greeting action set
'332-Counl_English' greeting uploaded for Standard
'332-VP_English' set with key: 0 and mapping: 803326003
'332-VP_English' set with key: 1 and mapping: 803323002
'332-VP_English' set with key: 2 and mapping: 803323003
'332-VP_English' set with key: 3 and mapping: 803323001
'332-VP_English' transfer rule set
'332-VP_English' after greeting action set
'332-VP_English' greeting uploaded for Standard
'332-VP_Spanish' set with key: 0 and mapping: 803326003
'332-VP_Spanish' set with key: 1 and mapping: 803323002
'332-VP_Spanish' set with key: 2 and mapping: 803323003
'332-VP_Spanish' set with key: 3 and mapping: 803323001
'332-VP_Spanish' transfer rule set
'332-VP_Spanish' after greeting action set
'332-VP_Spanish' greeting uploaded for Standard
'332-Counl_Spanish' set with key: 0 and mapping: 803323020
'332-Counl_Spanish' set with key: 1 and mapping: 803323056
'332-Counl_Spanish' set with key: 2 and mapping: 803323055
'332-Counl_Spanish' transfer rule set
'332-Counl_Spanish' after greeting action set
'332-Counl_Spanish' greeting uploaded for Standard
'307-UMAA-01-Main_English' set with key: 0 and mapping: 803073023
'307-UMAA-01-Main_English' set with key: 1 and mapping: 803073023
'307-UMAA-01-Main_English' set with key: 2 and mapping: 803073021
'307-UMAA-01-Main_English' set with key: 3 and mapping: 803073011
'307-UMAA-01-Main_English' set with key: 4 and mapping: 803073052
'307-UMAA-01-Main_English' set with key: 5 and mapping: 803073024
'307-UMAA-01-Main_English' set with key: 6 and mapping: 803073055
'307-UMAA-01-Main_English' set with key: 7 and mapping: 803076003
'307-UMAA-01-Main_English' transfer rule set
'307-UMAA-01-Main_English' after greeting action set
'307-UMAA-01-Main_English' greeting uploaded for Standard
307-UMAA-01-Main_English DTMFAccessId set with 803073000
'307-UMAA-01-Main_English' closed handler set
'307-UMAA-01-Main_Spanish' set with key: 1 and mapping: 803073021
'307-UMAA-01-Main_Spanish' set with key: 2 and mapping: 803072291
'307-UMAA-01-Main_Spanish' set with key: 3 and mapping: 803073055
'307-UMAA-01-Main_Spanish' set with key: 4 and mapping: 803073024
'307-UMAA-01-Main_Spanish' set with key: 5 and mapping: 803073011
'307-UMAA-01-Main_Spanish' set with key: 6 and mapping: 803073050
'307-UMAA-01-Main_Spanish' set with key: 7 and mapping: 803073060
'307-UMAA-01-Main_Spanish' set with key: 8 and mapping: 803076010
'307-UMAA-01-Main_Spanish' transfer rule set
'307-UMAA-01-Main_Spanish' after greeting action set
'307-UMAA-01-Main_Spanish' greeting uploaded for Standard
'307-UMAA-03-Counselors-English-&-Spanish' set with key: 1 and mapping: 803073026
'307-UMAA-03-Counselors-English-&-Spanish' set with key: 2 and mapping: 803073055
'307-UMAA-03-Counselors-English-&-Spanish' set with key: 3 and mapping: e40bec46-634b-4833-9067-37d43cc39596
'307-UMAA-03-Counselors-English-&-Spanish' after greeting action set
'307-UMAA-03-Counselors-English-&-Spanish' greeting uploaded for Standard
'307-UMAA-02-General-Information-English-&-Spanish-2020' set with key: 1 and mapping: 803073990
'307-UMAA-02-General-Information-English-&-Spanish-2020' set with key: 2 and mapping: e40bec46-634b-4833-9067-37d43cc39596
'307-UMAA-02-General-Information-English-&-Spanish-2020' after greeting action set
'307-UMAA-02-General-Information-English-&-Spanish-2020' greeting uploaded for Standard
'307-UMAA-03-Main_English_Night' set with key: 1 and mapping: 803073021
'307-UMAA-03-Main_English_Night' set with key: 2 and mapping: 803072291
'307-UMAA-03-Main_English_Night' set with key: 3 and mapping: 803073055
'307-UMAA-03-Main_English_Night' set with key: 4 and mapping: 803073011
