Successful function calls:
'304-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/282581e0-ffb9-4628-8f41-e686c7919057
'304-UMAA-01-Main_Spanish' created: /vmrest/handlers/callhandlers/4eae4bd3-1ef5-4d55-82bb-4c4463dbd281
'304-Counselor Spanish' created: /vmrest/handlers/callhandlers/d11a550d-dd8e-4ea2-8a49-05ea462ed9db
'304-Counselor English' created: /vmrest/handlers/callhandlers/5f04acd0-cc81-4227-82e8-5d76dd825563
'304-Nurse English' created: /vmrest/handlers/callhandlers/452be568-0026-4a22-b3ab-9445f6dd8bc0
'304-Nurse Spanish' created: /vmrest/handlers/callhandlers/c590c9ec-59e4-4cca-8d7e-5c00e6dc794a
'308-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/4798b3a9-6912-44ba-930d-69e0c947b3b4
'308-UMAA-03-Main_English_Night' created: /vmrest/handlers/callhandlers/ad51162e-4a99-45a8-b2da-0e538cfa871a
'311-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/046ba55e-ee2b-4c9f-b1a1-0b6f05ca5042
'311-UMAA-01-Main_Spanish' created: /vmrest/handlers/callhandlers/22ffa1b6-ffb2-461b-8929-fe7b65884c73
